Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) cube/cube_1 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      cube/cube_1 (nan)      banana/banana_2 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - cube,,,,,,,,0.975,1.0,0.9666666666666666,0.9800000000000001
 ,,,,,,,,,,,
like,cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      ,cube/cube_1 (nan) ,cube/cube_1 (nan) ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
like,cube/cube_1 (nan)      cube/cube_1 (nan)      ,cube/cube_1 (nan) cube/cube_1 (nan) ,cube/cube_1 (nan) cube/cube_1 (nan) ,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
